"ID",Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Rating,Rating Info,Category,Open Hours,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
ypid:YN53265235ECB70792,Padiham Roofing Contractors Ltd,"1 Meadow St, Burnley BB11 1NF",https://www.bing.com/th?id=OLC.8htlm2vh36K3qw480x360&pid=Local,https://www.bing.com/maps?cp=53.78855895996094%7E-2.247234582901001&lvl=16.0&q=Padiham%20Roofing%20Contractors%20Ltd%20%2C%201%20Meadow%20St%2C%20Burnley%20BB11%201NF,53.78855896,-2.247234583,,,Home service,Closed · Opens tomorrow 09:00,http://padihamroofingcontractorsltd.co.uk/,07530 405510,"padihamroofingcontractorsltd@outlook.com,design@imotto.kr,supattarfaspeed.info@gmail.com",https://www.facebook.com/profile.php?id=100063493333869,https://www.facebook.com/profile.php?id=100063493333869,,
ypid:YNAC1C22AC7B596D93,SupaLite Tiled Roof Systems Ltd.,"180-181 Bradkirk Place, Walton Summit Rd, Preston PR5 8AJ",https://www.bing.com/th?id=OLC.ZNBReXdaHUa5SA480x360&pid=Local,https://www.bing.com/maps?cp=53.72291946411133%7E-2.6506292819976807&lvl=16.0&q=SupaLite%20Tiled%20Roof%20Systems%20Ltd.%20%2C%20180-181%20Bradkirk%20Place%2C%20Walton%20Summit%20Rd%2C%20Preston%20PR5%208AJ,53.72291946,-2.650629282,,,Home service,Closed · Opens Mon 08:30,https://www.supaliteroof.co.uk/,01772 828060,"sales@supalite.uk,sales@supaliteroof.co.uk,info@supalite.uk,info@supaliteroof.co.uk,supa6@supaliteroof.co.uk","https://www.facebook.com/supalitetiledroofsystems/,https://twitter.com/supaliteroofs,https://www.instagram.com/supaliteroof/,https://www.linkedin.com/company/supalite-tiled-roof-system-ltd",https://www.facebook.com/supalitetiledroofsystems/,https://www.instagram.com/supaliteroof/,https://twitter.com/supaliteroofs
ypid:YN2B49331EAA7DC28F,Roofs Warrington - Roofers Warrington,"Private Address in Warrington, England",https://www.bing.com/th?id=OLC.8LvBUsfcpCF0yg480x360&pid=Local,https://www.bing.com/maps?cp=53.3870964050293%7E-2.5735297203063965&lvl=16.0&q=Roofs%20Warrington%20-%20Roofers%20Warrington%20%2C%20Private%20Address%20in%20Warrington%2C%20England,53.38709641,-2.57352972,,,Home service,Closed · Opens Mon 09:00,https://www.roofswarrington.co.uk/,01925 396747,enquiries@roofswarrington.co.uk,,,,
ypid:YN5575B9E8BA4EAFF0,North West Roofers,"Kennedy House, 31 Stamford St, Altrincham WA14 1ES",https://www.bing.com/th?id=OLC.t+flD80g3llfPQ480x360&pid=Local,https://www.bing.com/maps?cp=53.3896484375%7E-2.3474771976470947&lvl=16.0&q=North%20West%20Roofers%20%2C%20Kennedy%20House%2C%2031%20Stamford%20St%2C%20Altrincham%20WA14%201ES,53.38964844,-2.347477198,,,Home service,Closed · Opens Mon 09:00,http://www.northwestroofers.co.uk/,0161 826 4973,info@northwestroofers.co.uk,https://www.facebook.com/northwestrooferscouk,https://www.facebook.com/northwestrooferscouk,,
ypid:YNAA17244CDFFE35E,JA Roofing & Son Ltd,"3 Caxton Rd, Preston PR2 9ZZ",,https://www.bing.com/maps?cp=53.79694366455078%7E-2.6902859210968018&lvl=16.0&q=JA%20Roofing%20%26%20Son%20Ltd%20%2C%203%20Caxton%20Rd%2C%20Preston%20PR2%209ZZ,53.79694366,-2.690285921,,,Home service,Open · Closes 21:00,https://www.prestonroofers.com/,07770 010241,,,,,
ypid:YNBB470D4C9B6575F9,Alpine Roofers Chorley - Roof Repairs,"27 Market St, Chorley PR7 2SY",,https://www.bing.com/maps?cp=53.65348434448242%7E-2.6323745250701904&lvl=16.0&q=Alpine%20Roofers%20Chorley%20-%20Roof%20Repairs%20%2C%2027%20Market%20St%2C%20Chorley%20PR7%202SY,53.65348434,-2.632374525,,,Home service,Closed · Opens Mon 07:30,http://alpineroofers.co.uk/chorley,,,"https://www.facebook.com/wix,https://www.twitter.com/wix,https://youtube.com/user/wix",https://www.facebook.com/wix,,https://www.twitter.com/wix
ypid:YN94FB20025F16FAFD,C.W.L Roofer in preston,"Woodside Ave, Preston PR2 6QQ",https://www.bing.com/th?id=OLC.xjPL/5DHtGFJtg480x360&pid=Local,https://www.bing.com/maps?cp=53.77492904663086%7E-2.661168098449707&lvl=16.0&q=C.W.L%20Roofer%20in%20preston%20%2C%20Woodside%20Ave%2C%20Preston%20PR2%206QQ,53.77492905,-2.661168098,,,Home service,Open · Closes 23:59,http://www.rooferinpreston.com/,0800 193 3327,"info@rooferinpreston.com,office@en-co.com","https://www.youtube.com/feed/history?utm_source=pp,https://www.facebook.com/rooferinpreston",https://www.facebook.com/rooferinpreston,,
ypid:YN5CB246CE44016AD,Liverpool Reliable Roofers,"Private Address in Ellesmere Port, England",https://www.bing.com/th?id=OLC.NCYtYSClw/2yCA480x360&pid=Local,https://www.bing.com/maps?cp=53.28019714355469%7E-2.9741668701171875&lvl=16.0&q=Liverpool%20Reliable%20Roofers%20%2C%20Private%20Address%20in%20Ellesmere%20Port%2C%20England,53.28019714,-2.97416687,,,Home service,Open · Closes 23:00,http://www.liverpoolsreliableroofers.co.uk/,0151 380 0004,,,,,
ypid:YN1D36CAD283239487,Paramount Roofing Preston & Blackpool,"Ferry Road, Preston PR2 2",,https://www.bing.com/maps?cp=53.761375427246094%7E-2.7463667392730713&lvl=16.0&q=Paramount%20Roofing%20Preston%20%26%20Blackpool%20%2C%20Ferry%20Road%2C%20Preston%20PR2%202,53.76137543,-2.746366739,,,Home service,Closed · Opens Mon 08:30,https://www.paramount-roofing.co.uk/roofing-preston/,01772 466585,"graham@paramount-roofing.co.uk,grahamparamountroofing@gmail.com,info@paramount-roofing.cdo.uk",,,,
ypid:YNBB6EF87E9B875D59,Penwortham roofer,"Private Address in Preston, England",https://www.bing.com/th?id=OLC.U3yZO9eMfEeH1g480x360&pid=Local,https://www.bing.com/maps?cp=53.84281921386719%7E-2.551239490509033&lvl=16.0&q=Penwortham%20roofer%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.84281921,-2.551239491,,,Home service,Open · Closes 19:00,http://www.preston-roofer.co.uk/,07960 944672,info@prroofingservices.co.uk,"https://www.facebook.com/prestonroofer/,https://twitter.com/prestonroofer",https://www.facebook.com/prestonroofer/,,https://twitter.com/prestonroofer
ypid:YN880FCB82E5153481,BDS Roofing Ltd - Roof repair Manchester and roofer Tameside.,"Private Address in Salford, England",,https://www.bing.com/maps?cp=53.50221252441406%7E-2.2832038402557373&lvl=16.0&q=BDS%20Roofing%20Ltd%20-%20Roof%20repair%20Manchester%20and%20roofer%20Tameside.%20%2C%20Private%20Address%20in%20Salford%2C%20England,53.50221252,-2.28320384,,,Home service,Open 24 hours,https://www.bdsroofingltd.co.uk/,07852 452142,,,,,
ypid:YND3A970A25E5DCA22,Roof Craft Roofing Services,"Private Address in Blackburn, England",https://www.bing.com/th?id=OLC.YBoZT1lzwxyiOw480x360&pid=Local,https://www.bing.com/maps?cp=53.74964141845703%7E-2.4949398040771484&lvl=16.0&q=Roof%20Craft%20Roofing%20Services%20%2C%20Private%20Address%20in%20Blackburn%2C%20England,53.74964142,-2.494939804,,,Home service,Open 24 hours,http://www.roofcraftroofing.co.uk/,07547 930749,"roofcraft2000@yahoo.com,info@roofcraftroofing.co.uk,helpdesk@nfrc.co.uk",https://www.facebook.com/roofcraftroofing,https://www.facebook.com/roofcraftroofing,,
ypid:YN7E5829F030BEBDA6,The Roofers Blackpool,"3 Saxby Grove, Blackpool FY4 4LA",,https://www.bing.com/maps?cp=53.7999267578125%7E-3.0196526050567627&lvl=16.0&q=The%20Roofers%20Blackpool%20%2C%203%20Saxby%20Grove%2C%20Blackpool%20FY4%204LA,53.79992676,-3.019652605,,,Home service,Open · Closes 20:00,https://the-roofers-blackpool.co.uk/,07910 742482,"info@the-roofers-blackpool.co.uk,theroofers.info@gmail.com","https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand,https://www.instagram.com/whatsapp/?hl=en,https://www.tiktok.com/@the.roofers.nw,https://x.com/whatsapp,https://www.youtube.com/channel/ucauerig2n-rzwjt8x75v9yw",https://www.facebook.com/brand/resources/whatsapp/whatsapp-brand,https://www.instagram.com/whatsapp/?hl=en,https://x.com/whatsapp
ypid:YNE8135ADE0F8566CE,Wendland Roof Solutions,"Enterprise Works, Salthill Rd, Clitheroe BB7 1PE",https://www.bing.com/th?id=OLC.sxw71KwxpGpG8Q480x360&pid=Local,https://www.bing.com/maps?cp=53.8754997253418%7E-2.3838396072387695&lvl=16.0&q=Wendland%20Roof%20Solutions%20%2C%20Enterprise%20Works%2C%20Salthill%20Rd%2C%20Clitheroe%20BB7%201PE,53.87549973,-2.383839607,,,Home service,Closed · Opens Mon 09:00,http://www.wendland.uk.com/,01200 443311,"gap.worksop@gap.uk.com,dataprotection@ultraframe.co.uk",https://twitter.com/wendlandroof,,,https://twitter.com/wendlandroof
ypid:YNC1A41D719D209325,Roof Revive,"93 Ashton Dr, Lancaster LA1 2LQ",https://www.bing.com/th?id=OLC.xmCzkMmAxs48Vw480x360&pid=Local,https://www.bing.com/maps?cp=54.05970001220703%7E-2.803725242614746&lvl=16.0&q=Roof%20Revive%20%2C%2093%20Ashton%20Dr%2C%20Lancaster%20LA1%202LQ,54.05970001,-2.803725243,,,Home service,Open 24 hours,http://www.roofrevivenorthwest.co.uk/,01524 566126,roofrevive50@gmail.com,"https://www.facebook.com/roofrevive50/,https://twitter.com/reviveroof,https://www.instagram.com/roofrevive50/",https://www.facebook.com/roofrevive50/,https://www.instagram.com/roofrevive50/,https://twitter.com/reviveroof
ypid:YN99E60FBA7A86B2B2,Best Choice Roofers LTD,"2 Clarendon Rd, Lancaster LA1 2DQ",,https://www.bing.com/maps?cp=54.06132507324219%7E-2.7975687980651855&lvl=16.0&q=Best%20Choice%20Roofers%20LTD%20%2C%202%20Clarendon%20Rd%2C%20Lancaster%20LA1%202DQ,54.06132507,-2.797568798,,,Home service,Open · Closes 19:00,https://bestchoiceroofersltd.co.uk/,01524 487211,"info@bestchoiceroofersltd.co.uk,INFO@BESTCHOICEROOFERSLTD.CO.UK,contact@innovestx.co.th",,,,
ypid:YN709BA72B0203D017,Southport Roofer,"Kensington Industrial Estate, Hall St, Southport PR9 0NY",https://www.bing.com/th?id=OLC.9MVNUrjaoDc1cg480x360&pid=Local,https://www.bing.com/maps?cp=53.64506530761719%7E-2.9941070079803467&lvl=16.0&q=Southport%20Roofer%20%2C%20Kensington%20Industrial%20Estate%2C%20Hall%20St%2C%20Southport%20PR9%200NY,53.64506531,-2.994107008,4.5,Trustpilot (10),Home service,Open · Closes 20:00,https://southportroofer.co.uk/,01704 795558,,,,,
ypid:YN9F86AF3407FF6419,Fleetwood Roof Repairs,"41 Hodder Ave, Fleetwood FY7 8ES",https://www.bing.com/th?id=OLC.41o8PAlbeUyT9Q480x360&pid=Local,https://www.bing.com/maps?cp=53.911354064941406%7E-3.0429816246032715&lvl=16.0&q=Fleetwood%20Roof%20Repairs%20%2C%2041%20Hodder%20Ave%2C%20Fleetwood%20FY7%208ES,53.91135406,-3.042981625,,,Home service,Open · Closes 23:00,http://www.roofrepairsfleetwood.co.uk/,07383 014003,,https://www.youtube.com/dancingwiththestars,,,
ypid:YN1511D688068F687C,R T Daley Roofers Warrington,"Private Address in Wigan, England",https://www.bing.com/th?id=OLC.tIfB/cZxlxFKaQ480x360&pid=Local,https://www.bing.com/maps?cp=53.51445388793945%7E-2.4733493328094482&lvl=16.0&q=R%20T%20Daley%20Roofers%20Warrington%20%2C%20Private%20Address%20in%20Wigan%2C%20England,53.51445389,-2.473349333,,,Home service,,http://www.rtdaleyroofing.co.uk/,01925 244407,thedaleys4@hotmail.com,https://www.facebook.com/rtdaleyroofing/,https://www.facebook.com/rtdaleyroofing/,,
ypid:YNCE40E4083EBDCF2E,A.L ROOFING SERVICES,"Private Address in Preston, England",,https://www.bing.com/maps?cp=53.770263671875%7E-2.6971726417541504&lvl=16.0&q=A.L%20ROOFING%20SERVICES%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.77026367,-2.697172642,,,Home service,Closed · Opens Mon 09:00,http://alroofingservices.godaddysites.com/,07872 599840,git@github.com,,,,
ypid:YN1CDDC463C86457B,J.F.K Roofers Blackpool,"Private Address in Preston, England",,https://www.bing.com/maps?cp=53.85582733154297%7E-2.826432704925537&lvl=16.0&q=J.F.K%20Roofers%20Blackpool%20%2C%20Private%20Address%20in%20Preston%2C%20England,53.85582733,-2.826432705,,,Home service,Closed · Opens tomorrow 08:00,,07523 288213,,,,,
ypid:YNECACE4B6DCBEC23C,Four Seasons Building & Roof Systems,"Private Address in , England",,https://www.bing.com/maps?cp=53.85736846923828%7E-2.837951183319092&lvl=16.0&q=Four%20Seasons%20Building%20%26%20Roof%20Systems%20%2C%20Private%20Address%20in%20%2C%20England,53.85736847,-2.837951183,,,Home service,Closed · Opens tomorrow 09:00,https://www.fourseasonsroofsystems.co.uk/,01253 462351,fourseasonslancs@gmail.com,"https://en-gb.facebook.com/fourseasonsbuilding/,https://www.instagram.com/fourseasonsbuildingroofsystems/",https://en-gb.facebook.com/fourseasonsbuilding/,https://www.instagram.com/fourseasonsbuildingroofsystems/,
ypid:YND74C5DF4006EC683,Alpine Roofers Tyldesley - Roof Repairs,"209 Elliott St, Manchester M29 8DR",,https://www.bing.com/maps?cp=53.514129638671875%7E-2.4650633335113525&lvl=16.0&q=Alpine%20Roofers%20Tyldesley%20-%20Roof%20Repairs%20%2C%20209%20Elliott%20St%2C%20Manchester%20M29%208DR,53.51412964,-2.465063334,,,Home service,Open · Closes 21:00,http://alpineroofers.co.uk/tyldesley,,,"https://www.facebook.com/wix,https://www.twitter.com/wix,https://youtube.com/user/wix",https://www.facebook.com/wix,,https://www.twitter.com/wix
ypid:YNFE1FB60AE9988E0C,CT Flat Roofing Ltd,"63A Hough Ln, Leyland PR25 2SA",https://www.bing.com/th?id=OLC.TXJ4gtmm1Kvhzw480x360&pid=Local,https://www.bing.com/maps?cp=53.695735931396484%7E-2.6928305625915527&lvl=16.0&q=CT%20Flat%20Roofing%20Ltd%20%2C%2063A%20Hough%20Ln%2C%20Leyland%20PR25%202SA,53.69573593,-2.692830563,,,Home service,Closed · Opens tomorrow 08:00,http://ctflatroofing.co.uk/,07725 318888,"info@ctflatroofing.co.uk,tom@ctflatroofing.co.uk,colin@ctflatroofing.co.uk,name@cpsymbol.com","https://facebook.com/ctflatroofing,https://instagram.com/ctflatroofing",https://facebook.com/ctflatroofing,https://instagram.com/ctflatroofing,
ypid:YN61D1F100F7D5FC2,J T Mack Flat Roof Systems,"Myrtle Bank Cottage, Market St, Poulton-Le-Fylde FY6 9AS",https://www.bing.com/th?id=OLC.kcTTizH2MaRkKg480x360&pid=Local,https://www.bing.com/maps?cp=53.875244140625%7E-2.9519193172454834&lvl=16.0&q=J%20T%20Mack%20Flat%20Roof%20Systems%20%2C%20Myrtle%20Bank%20Cottage%2C%20Market%20St%2C%20Poulton-Le-Fylde%20FY6%209AS,53.87524414,-2.951919317,,,Home service,Closed · Opens Mon 09:00,http://www.mackflatroofsystems.com/,01253 702239,info@mackflatroofsystems.com,,,,
ypid:YN39F664261A55FC6A,JP Pointing & Roofer Blackpool,"314 Park Rd, Blackpool FY1 6QT",https://www.bing.com/th?id=OLC.6J/txG1UZn0H2A480x360&pid=Local,https://www.bing.com/maps?cp=53.80398178100586%7E-3.0289759635925293&lvl=16.0&q=JP%20Pointing%20%26%20Roofer%20Blackpool%20%2C%20314%20Park%20Rd%2C%20Blackpool%20FY1%206QT,53.80398178,-3.028975964,,,Home service,Open · Closes 19:00,https://blackpoolpointing.com/,07855 667777,,"https://www.facebook.com/blackpoolroofing/,https://www.instagram.com/jp.roofing1/",https://www.facebook.com/blackpoolroofing/,https://www.instagram.com/jp.roofing1/,
ypid:YNBAAAB05147CA5F93,Taylor & Nelson roofing ltd,"17 Amber Dr, Chorley PR6 0LA",https://www.bing.com/th?id=OLC./8BTqHj78I714Q480x360&pid=Local,https://www.bing.com/maps?cp=53.64558792114258%7E-2.615827798843384&lvl=16.0&q=Taylor%20%26%20Nelson%20roofing%20ltd%20%2C%2017%20Amber%20Dr%2C%20Chorley%20PR6%200LA,53.64558792,-2.615827799,,,Home service,Closed · Opens Mon 07:30,http://www.taylornelsonroofing.co.uk/,07714 419455,"UStaylorandnelson@yahoo.com,taylorandnelson@yahoo.com,Kelly@atriumfacadeconsultancy.co.uk",https://www.facebook.com/taylorandnelson/,https://www.facebook.com/taylorandnelson/,,
ypid:YN465F48EF4A82D9BA,Stormproof plastics Roofing contractors,"Sough Ln, Blackburn BB1 2LR",https://www.bing.com/th?id=OLC.BOTEiRkgWjmguQ480x360&pid=Local,https://www.bing.com/maps?cp=53.734703063964844%7E-2.430967092514038&lvl=16.0&q=Stormproof%20plastics%20Roofing%20contractors%20%2C%20Sough%20Ln%2C%20Blackburn%20BB1%202LR,53.73470306,-2.430967093,5,Yell (31),Home service,Open 24 hours,http://stormproofplastics.co.uk/,07791 773003,info@stormproofplastics.co.uk,https://www.facebook.com/stormproofplastics/,https://www.facebook.com/stormproofplastics/,,
